news,pred_label,true_label,confidence
Chief executive officer Olli - Pekka Kallasvuo ' s changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple ' s iPhone and RIM ' s BlackBerry.,positive,negative,"['0.06', '0.00', '0.94']"
Both sources said Nokia would unveil its new phone code - named ` ` Tube ' ' on Oct. 2 at an analyst and media event in London.,positive,neutral,"['0.22', '0.00', '0.78']"
"VDW combined with LXE devices enhances productivity, enabling workers to use a single device to perform voice, scanning and keyboard functions.",neutral,positive,"['0.86', '0.00', '0.14']"
Okmetic ' s silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life.,positive,neutral,"['0.05', '0.00', '0.95']"
Sponda will record a profit from the sale of 8. 5 mln euro ( $ 12. 4 mln ).,neutral,positive,"['0.77', '0.00', '0.23']"
"` ` Tom Doring has a long and successful career in the drives business, and he knows the American market.",positive,neutral,"['0.36', '0.00', '0.64']"
The aim is to convert the plants into flexible manufacturers of new and technologically demanding products.,neutral,positive,"['1.00', '0.00', '0.00']"
"The production capacity can be tripled without any major additional investments, the company said.",neutral,positive,"['1.00', '0.00', '0.00']"
GSK announced in November 2008 that it would close its operations in Dartford.,neutral,negative,"['0.55', '0.15', '0.30']"
"However, the suspect stole his burgundy Nissan Altima.",neutral,negative,"['0.81', '0.01', '0.19']"
The contract has been allotted as per lowest price criteria.,positive,neutral,"['0.46', '0.01', '0.53']"
hybrid bond 18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure.,positive,neutral,"['0.20', '0.00', '0.79']"
"Seven - month sales of Ragutis, which is controlled by the Finnish brewery Olvi, declined by 11. 2 percent, to 15. 41 million liters, and the company held 9. 89 percent of the market.",positive,negative,"['0.01', '0.00', '0.99']"
26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions.,positive,neutral,"['0.10', '0.00', '0.90']"
"Digia said its consolidated net sales for January - June 2010 were EUR67. 8 m, up 9. 7 % on the same period in 2009 ( EUR61. 9 m ).",neutral,positive,"['0.92', '0.00', '0.08']"
"This implementation is very important to the operator, since it is about to launch its Fixed - to - Mobile convergence service in Brazil see Brazil : 8 May 2006 :.",positive,neutral,"['0.28', '0.00', '0.71']"
"There have been 15 initial public offerings announced in Sweden this year, compared with two during the same period a year earlier, Bloomberg data shows.",positive,neutral,"['0.00', '0.01', '0.99']"
"Previously, the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year.",neutral,positive,"['0.90', '0.00', '0.10']"
"Only the driver was left in the car with the suspect, who was kidnapped and forced at gunpoint to drive to Durham.",neutral,negative,"['1.00', '0.00', '0.00']"
Nordea Pankki Suomi Oyj ' s ownership in Stonesoft Corporation has decreased below 1 - 20.,negative,neutral,"['0.03', '0.96', '0.01']"
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest.,neutral,positive,"['1.00', '0.00', '0.00']"
` ` Russia is ready to participate in an open tender for Lattelecom ' s privatization.,positive,neutral,"['0.16', '0.00', '0.84']"
It helps our stakeholders get a better understanding of our operations and the challenges in stainless steel business.,positive,neutral,"['0.00', '0.00', '1.00']"
TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions.,neutral,positive,"['0.99', '0.00', '0.01']"
Sponda Plc Stock Exchange Release 5 December 2006 at 15. 45 EUR 1. 5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one - year syndicated credit facility for a total of EUR 1. 5 billion.,neutral,positive,"['0.79', '0.00', '0.21']"
"TeliaSonera ' s underlying results however included 457 mln skr in positive one - offs, hence the adjusted underlying EBITDA actually amounts to 7. 309 bln skr, clearly below expectations, analysts said.",neutral,negative,"['0.74', '0.00', '0.26']"
"Exports make up more than 80 per cent of our sales, so the name Glaston also reflects a truly internationally operating company, ' ' explains Kyro ' s President & CEO Mika Seitovirta.",positive,neutral,"['0.05', '0.00', '0.95']"
Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A. S. to 92. 6 pct stake in March 2007.,neutral,positive,"['1.00', '0.00', '0.00']"
"The money will be spent ` ` on strengthening the company ' s competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia, ' ' the release says.",neutral,positive,"['0.62', '0.00', '0.38']"
"TietoEnator itself uses Nokia ' s Intellisync Mobile Suite ' s wireless email, calendar, and device management capabilities, and the company will now extend these services to its customers.",neutral,positive,"['0.94', '0.00', '0.06']"
"` ` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface ' ' was invented by Marko Ahvenainen Ruutana, Finland.",positive,neutral,"['0.33', '0.00', '0.67']"
"Compared with the FTSE 100 index, which fell 35. 2 points ( or 0. 6 % ) on the day, this was a relative price change of 0. 6 %.",negative,neutral,"['0.00', '0.99', '0.01']"
"` ` We can say that the number of deals has become normalized by the moment, and therefore we have decided to devalue our apartments now on sale, ' ' he added.",positive,negative,"['0.03', '0.00', '0.97']"
"The other seats would go to Edgar Edmonds, an American with experience of the clothing and retail industry, and Christian Fischer, an Austrian with experience in the winter sports goods business.",positive,neutral,"['0.01', '0.00', '0.99']"
"` ` The implementation of these programs has had, and will have, negative impacts on 2006 and 2007 earnings, ' ' Mr Meiklejohn said.",neutral,negative,"['0.99', '0.00', '0.01']"
W + Ærtsil + Æ ' s aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region.,positive,neutral,"['0.00', '0.00', '1.00']"
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia, where the ice is thicker, and around the Aaland islands.",neutral,negative,"['0.98', '0.00', '0.02']"
"Okmetic ' s products are based on high - tech expertise that generates added value for customers, innovative product development and an extremely efficient production process.",neutral,positive,"['0.97', '0.00', '0.03']"
"According to Ringman, Finnish paper companies have acquired know - how and capacity in paper recycling, which has turned out to be a successful strategy.",neutral,positive,"['0.97', '0.00', '0.03']"
The merger between the two telecoms operators was expected to result in the world ' s fourth largest telecoms operator.,positive,neutral,"['0.46', '0.00', '0.54']"
The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares.,positive,neutral,"['0.08', '0.01', '0.91']"
"Return on investment was 5. 0 %, compared to a negative 4. 1 % in 2009.",negative,positive,"['0.01', '0.51', '0.49']"
"Last year, Lemminkainen completed the Kouvola K - supermarket contract.",neutral,positive,"['0.89', '0.00', '0.11']"
Finland - based Stockmann Group has closed seven franchising sports stores Nike in Russia.,neutral,negative,"['1.00', '0.00', '0.00']"
The chain is to unite 45 - 50 centres by the end of 2008.,positive,neutral,"['0.09', '0.00', '0.91']"
"Purchase it for the 12MP snapper, if nothing else.",negative,neutral,"['0.08', '0.91', '0.01']"
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway ' s Telenor ASA OSL : TEL and Sweden ' s TeliaSonera AB STO : TLSN in the short term.,neutral,negative,"['0.54', '0.04', '0.42']"
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation ' s ` ` Unikko ' ' floral pattern trademark invalid, in a continuing dispute between the two companies.",neutral,negative,"['0.97', '0.01', '0.02']"
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA, Market Basket, CVS, BJ ' s Wholesale Club, Hannaford and Cumberland Farms.",positive,neutral,"['0.21', '0.00', '0.79']"
Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information.,positive,neutral,"['0.00', '0.00', '1.00']"
"com, and we are constantly planning new ways to serve our customers online on a more comprehensive basis, ' ' says Matti Leminen, President of Anttila Oy.",neutral,positive,"['0.90', '0.00', '0.10']"
Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1. 1 mn in the second quarter of 2007.,positive,neutral,"['0.03', '0.01', '0.96']"
Finnish publishing and printing group Ilkka - Yhtym + Æ will introduced a staff smoking ban as of the beginning of 2007 at the company ' s three newspapers.,positive,neutral,"['0.01', '0.03', '0.97']"
"Under the changes envisaged, HK Ruokatalo would reduce its number of industrial places of business in Finland from eight to six.",positive,neutral,"['0.01', '0.00', '0.99']"
The deal is in line with Etteplan ' s strategy to operate as a partner of global customers and provide industrial technology design services.,positive,neutral,"['0.01', '0.00', '0.99']"
"` ` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries, such as oil shale processing.",neutral,positive,"['0.64', '0.00', '0.35']"
He said he has been losing five families a month to the economy as many make alternative arrangements to save money.,neutral,negative,"['0.70', '0.03', '0.27']"
"Glaston, headquartered in Tampere, Finland, is a growing, international glass technology company.",neutral,positive,"['1.00', '0.00', '0.00']"
The increase in capital stock has been registered in the Finnish Trade Register on 20 November 2006.,neutral,positive,"['0.56', '0.01', '0.43']"
They are also upset that some of the machinery and work is taken over to Poland.,neutral,negative,"['1.00', '0.00', '0.00']"
Acquisitions have been made and businesses have been well integrated.,neutral,positive,"['1.00', '0.00', '0.00']"
Finnish food industry companies are interested in the opportunities provided by Ukraine.,positive,neutral,"['0.22', '0.01', '0.78']"
"In this case, the effect would be negative in Finland.",neutral,negative,"['0.84', '0.16', '0.01']"
Sales of clothing developed best.,neutral,positive,"['0.77', '0.01', '0.22']"
"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4, 2006 at 10 : 00 a. m. An increase in the share capital of Aspo Plc totaling EUR 1, 125. 60 was registered today.",neutral,positive,"['1.00', '0.00', '0.00']"
"Belarus OAO Lidskoe Pivo brewery, based in the Grodno Region, reported a 1. 1 % decrease in output to 1. 045 million decaliters in January - March 2010, a representative in the administration of the company told.",positive,negative,"['0.04', '0.00', '0.96']"
"- BEIJING XFN - ASIA - Hong Kong - listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia, making it the first foreign bank to offer financing to the country ' s small and medium enterprise - LR",neutral,positive,"['0.98', '0.00', '0.02']"
"At 1. 33 pm, the OMX Helsinki 25 was 0. 30 pct lower at 2, 463. 67 and the OMX Helsinki was down 0. 37 pct at 8, 537. 42 on volume of 256 mln eur.",neutral,negative,"['0.65', '0.33', '0.03']"
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its ` ` leading supply status ' ' with Verizon, along with high - growth products.",neutral,positive,"['0.87', '0.00', '0.13']"
"Compared with the FTSE 100 index, which rose 51. 5 points ( or 0. 9 % ) on the day, this was a relative price change of - 0. 6 %.",positive,neutral,"['0.01', '0.39', '0.60']"
"According to Scanfil, demand for telecommunications network products has fluctuated significantly in the third quarter of 2006, and the situation is expected to remain unstable for the rest of the year.",positive,negative,"['0.26', '0.05', '0.68']"
"According to ACNielsen ' s ScanTrack study for the period week 10 of 2005 to week 9 of 2006, Coca - Cola is the market leader in soft drinks in Finland.",neutral,positive,"['1.00', '0.00', '0.00']"
"Pearl Plaza LLC, the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd, has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg, Russia.",neutral,positive,"['1.00', '0.00', '0.00']"
"The orange - handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York, as well as the Philadelphia Museum of Art.",positive,neutral,"['0.35', '0.00', '0.65']"
"Proving that good cellphone design is truly a work of art, the website for the Nokia 6131 provides a colorful canvas for the expression of mobile - inspired sentiments.",neutral,positive,"['0.67', '0.00', '0.33']"
"We are adjusting to the present situation by cutting our capacity and costs without, however, jeopardising our Asia strategy over the longer term.",positive,neutral,"['0.01', '0.00', '0.99']"
TeliaSonera has secured deliveries for 4G modems with support for 3G and 2G during the second quarter 2010.,neutral,positive,"['0.83', '0.00', '0.16']"
"Its main business area, the Glass Machinery Group of Glaston Technologies, is the global market leader in glass processing machines.",neutral,positive,"['1.00', '0.00', '0.00']"
Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit.,positive,neutral,"['0.00', '0.00', '1.00']"
"` ` We have become convinced that we can do that very quickly, ' ' he told Finnish business reporters.",positive,neutral,"['0.01', '0.00', '0.99']"
"Finnish Neste Oil that was previously on the list, has fallen off the list completely.",negative,neutral,"['0.03', '0.96', '0.01']"
"You need to be ready when the window opens up, Rosberg said.",positive,neutral,"['0.11', '0.01', '0.88']"
services supplier Efore Plc to streamline operations in Finland and the US Finnish electronic systems and services supplier Efore Plc ( OMX Helsinki : EFO1V ) said on Tuesday ( 3 February ) that it has initiated statutory negotiations regarding a streamlining of its operations in Finland.,neutral,positive,"['0.83', '0.00', '0.17']"
"The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer, A. Le Coq Special, investing 6 million kroons EUR 383, 000 into its development and planning to sell three million liters of the beer during the next year.",positive,neutral,"['0.01', '0.00', '0.99']"
"ADPnews - Jun 30, 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three - year EUR 900 million USD 1. 3 bn revolving credit facility.",neutral,positive,"['0.63', '0.37', '0.00']"
"The personnel reduction will be carried out in Anjalankoski, Hollola, Jyvaskyla, Jarvenpaa, Karhula, Turku and Valkeakoski units.",neutral,negative,"['1.00', '0.00', '0.00']"
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market.,positive,neutral,"['0.50', '0.00', '0.50']"
"Finnish energy company Fortum Oyj said on November 13, 2007 it was granted an environmental permit to build a biofuel - fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm.",neutral,positive,"['1.00', '0.00', '0.00']"
"Aug. 17, 2010 ( Curbed delivered by Newstex ) - - And now, the latest from Racked, covering shopping and retail from the sidewalks up.",positive,neutral,"['0.00', '0.00', '1.00']"
"Finnish W + Ærtsil + Æ that provides power solutions for the marine and energy markets has opened a Service Centre in Murmansk, in Russia.",positive,neutral,"['0.01', '0.00', '0.99']"
"Known as Post Bank, the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises, to provide financial services to the people.",neutral,positive,"['1.00', '0.00', '0.00']"
Elisa CEO Sami Seppanen said EMT ' s slogan ` ` Best coverage across Estonia ' ' clearly gives misleading information to consumers.,positive,negative,"['0.01', '0.01', '0.99']"
Okmetic expects its net sales for the first half of 2009 to be less than in 2008.,neutral,negative,"['0.63', '0.28', '0.09']"
Nokia Siemens Networks has struggled to make a profit in the past two years.,neutral,negative,"['1.00', '0.00', '0.00']"
"In addition, the company will reduce a maximum of ten jobs.",positive,negative,"['0.00', '0.01', '0.99']"
"At 10. 33 am, Huhtamaki was the market ' s biggest faller, 8. 69 pct lower at 11. 35 eur, while the OMX Helsinki 25 was 0. 32 pct higher at 3, 332. 41, and the OMX Helsinki was up 0. 47 pct at 11, 687. 32.",neutral,negative,"['0.90', '0.01', '0.09']"
"Mr. Mikko Saavalainen, head of Comptel ' s Global Sales concludes : ` ` Gibtelecom provides a perfect illustration of the variety of business, technical and regulatory challenges operators are facing in their OSS today.",positive,neutral,"['0.00', '0.00', '1.00']"
"SOUTHFIELD, Mich. - - Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008, to the tune of an estimated $ 1 million.",neutral,positive,"['0.99', '0.00', '0.01']"
"Order intake grew by 40 % year - on - year and 30 % year - on - year, respectively, to EUR 576 million and EUR 1. 7 billion for the respective January - September and July - September 2010 periods.",neutral,positive,"['0.63', '0.00', '0.37']"
A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser.,neutral,negative,"['0.99', '0.00', '0.01']"
"In Switzerland, Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber - to - the - home ( FTTH ) operators.",positive,neutral,"['0.00', '0.00', '1.00']"
"Jul. 18 - - Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon, shooting one of them and kidnapping another.",neutral,negative,"['0.96', '0.01', '0.03']"
In February the Elcoteq group sold its St Petersburg facility ; according to unconfirmed information the reason could have been supply problems because of the Russian customs service.,neutral,negative,"['0.45', '0.12', '0.43']"
The terms of the aforementioned funding are considerably below the Bank ' s current CDS levels in the market and have a maturity ranging from 1 to 7. 5 years.,positive,negative,"['0.00', '0.00', '1.00']"
"In the beginning of this year, Wartsila had secured an order to deliver four gas - fuelled main engines and propulsion machinery for the same vessel.",neutral,positive,"['0.95', '0.00', '0.05']"
"Vaisala also said it expects net sales of EUR 253. 2 million for 2010, compared with EUR 252. 2 million recorded in 2009.",neutral,positive,"['0.51', '0.00', '0.49']"
"According to a report by Neomarkka, Kuitu Finland ' s customers are interested in buying the company ' s products when it restarts production.",neutral,positive,"['0.95', '0.00', '0.05']"
Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1. 5 bn on the value appreciation.,neutral,positive,"['0.90', '0.09', '0.01']"
"Outokumpu ' s steel mill in Tornio, in Finland, is the suspected source.",neutral,negative,"['0.97', '0.02', '0.00']"
"Thus the method will cut working costs, and will fasten the planning and building processes.",neutral,positive,"['0.99', '0.00', '0.01']"
` ` The Government has had a very professional approach in assessing the offer.,neutral,positive,"['1.00', '0.00', '0.00']"
( I & H ) in a move to enhance growth.,neutral,positive,"['0.76', '0.00', '0.24']"
"MegaFon ' s subscriber base increased 16. 1 % in 2009 to 50. 5 million users as of December 31, while its market share by the number of customers amounted to 24 % as of late 2009, up from 23 % as of late 2008, according to TeliaSonera estimates.",neutral,positive,"['1.00', '0.00', '0.00']"
"` ` EB Tough VoIP was designed to fulfill the communications needs of military units, and we continue to strive towards achieving that goal, ' ' Mikko Viitaniemi, EB Elektrobit Defense Products, Wireless Solutions senior manager, said in a statement.",positive,neutral,"['0.00', '0.00', '1.00']"
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11. 7 mln euro $ 17. 2 mln for 2007 versus a net profit of 2. 5 mln euro $ 3. 7 mln for 2006.,neutral,negative,"['0.99', '0.01', '0.00']"
"A Flurry Analytics spokesperson said that, as it was only measuring Windows Phone 7 data for some weeks, the firm double - checked the data to make sure the 66 per cent rise was not an aberration.",positive,neutral,"['0.12', '0.00', '0.88']"
"In a release, the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price.",neutral,positive,"['0.96', '0.00', '0.04']"
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24. 7 - 19 euro on Swedish lock maker Assa Abloy AB.,positive,neutral,"['0.00', '0.00', '1.00']"
"The planned facility, estimated to cost around $ 814 million, would be the largest biodiesel plant in the world, and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ).",neutral,positive,"['0.94', '0.00', '0.06']"
"Biohit, Inc., has expanded its mLINE Family of Pipettors with the addition of the NEW 1 - 10 ml volume range.",positive,neutral,"['0.16', '0.00', '0.83']"
"` ` Subscribers can browse free numbers with their handset, and select the numbers, packages and services they prefer when activating the phone.",positive,neutral,"['0.30', '0.00', '0.69']"
"The alliance aims to tap pocketable mobile computers, netbooks, tablets, mediaphones, connected TVs and in - vehicle infotainment systems.",positive,neutral,"['0.41', '0.00', '0.59']"
Net profit fell by almost half to + â 5. 5 million from + â 9. 4 million at the end of 2007.,neutral,negative,"['0.57', '0.42', '0.01']"
"The group also plans to launch the 270 room Atria Grand, Whitefield, a five star luxury hotel, in 2009.",positive,neutral,"['0.02', '0.00', '0.98']"
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion.,neutral,positive,"['0.99', '0.00', '0.01']"
"We warmly welcome him to Satama ' ', states Jussi Lansio, chairman of the Board.",neutral,positive,"['0.90', '0.03', '0.08']"
Finnish office supplies and computer accessories dealer Beltton - Group Plc said its net profit rose to 1. 3 mln euro ( $ 1. 7 mln ) in 2006 from 1. 13 mln euro ( $ 1. 5 mln ) in 2005.,neutral,positive,"['0.92', '0.00', '0.08']"
Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company - wide cost reduction program.,neutral,positive,"['0.99', '0.00', '0.01']"
"Deutsche Beteiligungs, as well as a private equity fund it manages, first bought 75 % of MCE in a secondary buyout from White Plains, N. Y., financial investor Andlinger & Co. in 2007.",positive,neutral,"['0.00', '0.00', '1.00']"
"Comptel Corporation Sami Ervio President and CEO, Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively.",positive,neutral,"['0.48', '0.00', '0.52']"
"The study evaluated the safety, tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis.",positive,neutral,"['0.23', '0.01', '0.76']"
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40, 000 tonnes a day.",positive,neutral,"['0.00', '0.00', '0.99']"
"The restructuring creates a more efficient organization with increased operational focus and stable profitability, and leads to more efficient production, said Bo Annvik, head of Specialty Stainless.",neutral,positive,"['0.61', '0.00', '0.38']"
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka, Wysockiego and Zgody.",neutral,positive,"['0.84', '0.00', '0.15']"
Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360 - degree immersive camera product line and Teleste s enterprise video management systems.,neutral,positive,"['0.97', '0.00', '0.03']"
The Company said that previously EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators.,positive,neutral,"['0.00', '0.00', '1.00']"
"In the Asia - Pacific region, Visa Wave is available in Malaysia, Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year, Jung added.",neutral,positive,"['1.00', '0.00', '0.00']"
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees.,neutral,positive,"['1.00', '0.00', '0.00']"
"LIGHTS OUT Before curfew, curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan.",positive,neutral,"['0.27', '0.00', '0.73']"
"The decision of the French Court relates to the claims raised by twenty - one former Aspocomp S. A. S employees, the company said.",positive,neutral,"['0.02', '0.00', '0.98']"
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system, ' Kone spokeswoman told Thomson Financial News.",neutral,positive,"['1.00', '0.00', '0.00']"
"The contract covers the supply of temporary heating equipment for LKAB ' s new pellet plant in Kiruna, in northern Sweden.",positive,neutral,"['0.27', '0.00', '0.73']"
Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover.,neutral,positive,"['1.00', '0.00', '0.00']"
Technical indicators for the stock are bullish and S & P gives NOK a positive 4 STARS out of 5 buy ranking.,neutral,positive,"['0.51', '0.00', '0.49']"
"Jukka Hienonen, the current Finnair CEO, will step down at the end of January 2010.",negative,neutral,"['0.35', '0.65', '0.01']"
Deliveries have started and the network will be ready for a launch soon.,neutral,positive,"['1.00', '0.00', '0.00']"
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala - Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal.,neutral,negative,"['0.98', '0.00', '0.01']"
"According to Finnish insurance companies Tapiola, Local Insurance Group ( L + Æhivakuutus ), and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance.",neutral,positive,"['0.87', '0.00', '0.13']"
"Vanhanen said the strike would be ` ` extremely damaging ' ' as some 1, 300 participants and reporters begin to arrive in Finland for the one - day EU summit with Russian President Vladimir Putin in Lahti, about 100 kilometers ( 60 miles ) north of Helsinki.",positive,negative,"['0.47', '0.01', '0.52']"
"Separately, YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E ' s building system service business in Germany, Austria, Poland, the Czech Republic, Hungary and Romania for EUR 55 mln.",neutral,positive,"['0.99', '0.00', '0.01']"
"Tiimari, the Finnish retailer, reported to have geenrated quarterly revenues totalling EUR 1. 3 mn in the 4th quarter 2009, up from EUR 0. 3 mn loss in 2008.",negative,positive,"['0.07', '0.70', '0.23']"
"Sales in local currencies decreased by 0. 5 percent while the number of subscribers rose by 12. 7 million to a total of 147. 6 million at the end of fourth quarter, the company said.",positive,neutral,"['0.06', '0.39', '0.55']"
"The newly - completed Allure of the Seas and its identical sister ship, Oasis of the Seas, which was completed last year are the world ' s largest cruise ships.",positive,neutral,"['0.03', '0.00', '0.97']"
"Today, we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them.",positive,neutral,"['0.21', '0.08', '0.71']"
TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population.,neutral,positive,"['0.99', '0.00', '0.01']"
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars.,positive,neutral,"['0.19', '0.00', '0.80']"
Stora Enso will record a capital gain of EUR 33 million as a non - recurring financial item in its fourth quarter 2006 results.,positive,neutral,"['0.00', '0.00', '1.00']"
"` ` Thanks to my Nokia and Lulu, I am now proud to be a published His novel can be found here.",positive,neutral,"['0.43', '0.00', '0.57']"
` ` Management decided at the end of 2005 to increase cathode copper capacity.,positive,neutral,"['0.00', '0.00', '1.00']"
"In Sweden, there is an oversupply of pharmacies.",neutral,negative,"['1.00', '0.00', '0.00']"
This is the second successful effort for the financial investor this year.,neutral,positive,"['0.87', '0.00', '0.13']"
